Orbital Period,Planetary Radius,Transit Duration,Transit Depth,Star’s Effective Temperature (Kelvin),Star’s Radius (in solar radii),Star’s Surface Gravity (log10(cm/s²))
67.5923754,12.1,12.249,4158.1,6038.0,1.744,4.082
17.02902786,2.54,4.645,568.9,5839.0,1.067,4.327
6.84619236,1.67,3.529,246.8,5839.0,1.067,4.327
67.8321638,2.39,7.358,507.8,5839.0,1.067,4.327
43.1312147,2.39,3.198,447.8,5839.0,1.067,4.327
1.224866441,1.54,1.7086,196.0,5553.0,1.107,4.32
37.8102649,2.33,8.733,570.3,6085.0,0.973,4.451
25.93406406,2.48,4.6142,414.5,5952.0,1.225,4.287
83.4463485,2.73,6.536,503.0,5952.0,1.225,4.287
7.04710032,25.2,2.926,400.9,5766.0,1.068,4.363
12.99204853,2.03,6.0175,270.6,5765.0,1.242,4.236
11.11620211,8.96,4.211,4843.9,6122.0,0.996,4.471
1.922861499,5.09,3.5734,1916.2,5778.0,0.911,4.531
0.635445336,19.0,1.8592,2547.4,3920.0,0.55,4.7
1.665784138,97.27,1.8946,2006.2,6261.0,2.789,3.686
55.6639167,34.14,23.546,3414.4,5587.0,0.853,4.528
52.09081627,7.14,8.6388,2894.1,6198.0,1.324,4.237
7.1548608,7.41,7.694,780.4,7443.0,1.739,4.166
4.28746668,2.29,1.5693,790.1,5296.0,0.815,4.576
2.002779769,1.42,2.231,260.5,5346.0,0.892,4.44
8.18739443,1.92,3.0472,517.6,5251.0,0.849,4.494
76.0498163,1.75,7.158,445.9,5251.0,0.849,4.494
3.341799486,1.67,2.9254,178.2,5873.0,1.235,4.293
3.3226948,15.33,3.568,78.7,5234.0,16.959,2.41
36.97708808,38.6,4.737,1269.9,5589.0,1.239,4.193
1.851409163,20.42,10.232,232.5,7117.0,1.469,4.176
1.303859704,0.98,2.8239,36.7,6802.0,1.521,4.103
145.5624926,40.15,5.4126,2931.6,6148.0,1.095,4.346
3.749105745,1.68,1.9826,182.6,5751.0,0.983,4.447
11.08956602,3.51,6.2877,148.1,6353.0,2.867,3.698
7.37290344,2.67,2.172,205.2,5973.0,1.07,4.371
7.24476126,0.65,2.3145,58.0,5370.0,0.874,4.494
119.0624882,10.4,3.1188,5372.3,5697.0,0.92,4.392
8.70798309,2.01,2.4904,1419.6,4362.0,0.554,4.722
14.8623076,1.57,3.161,840.0,4362.0,0.554,4.722
4.17634276,1.23,2.335,531.5,4362.0,0.554,4.722
27.40229859,3.63,6.8491,747.5,6198.0,1.324,4.237
3.179267286,1.21,1.0246,200.9,5511.0,0.857,4.554
10.38122447,2.18,2.715,801.5,5095.0,0.78,4.566
24.5709023,2.82,3.587,764.2,5095.0,0.78,4.566
81.221876,16.59,4.1135,9883.0,5619.0,0.874,4.536
0.817026268,2.92,2.0799,1145.5,5619.0,0.874,4.536
3.024092505,12.14,2.8021,7765.0,6063.0,1.358,4.261
